abs_avg_tvalue,annual_return,annual_sharpe,date,fac_return_mean,factor,factor_ir,group1-5,group1-other,icir,mdd,start_date,t_gt_2,tc,turnover
3.1795357358283205,0.235,3.11,20180928,-0.00143167921856,benew_p5_ma10_hist_tvalue_p06_20180531_t7_0606221539248_after,4.467586809005506,1.2606600983800007,0.7234289730150001,5.002163778206388,0.052000000000000005,20170921,0.652,0.059337507093480325,17.290953344244006
2.330862516334538,0.16899999999999998,2.84,20180928,-0.0014218018383935745,benew_p5_ma10_0322001055_after,6.785506868023938,1.0175072407799988,0.4803437822650001,7.224953274312575,0.028999999999999998,20170921,0.5060240963855421,0.0608422264553596,18.9573121535419
2.5995294378424,0.162,2.72,20180928,-0.0014909900004000001,benew_p5_ma20_0326083326_after,6.62009327728847,1.083174902089998,0.5003787828049999,6.802545177799263,0.037000000000000005,20170921,0.6,0.02351036209360649,7.332358392225433
3.5738242170486747,0.13699999999999998,2.12,20180928,0.002143897556265061,benew_p05_noma_tvalue_20150601_0816225040769_after,7.009134683825103,1.2946525763800043,0.5503139671925,7.753850806921681,0.027999999999999997,20170921,0.678714859437751,0.05701600125182309,17.723768551389913
2.50161250036128,0.10800000000000001,1.66,20180928,0.00163052245612,benew_p06_noma_tvalue_20180901_tp_0935_1000_0922191517773_after,8.7051564360441,1.19871831679,0.7615452543650003,9.839623895251279,0.04,20170921,0.596,0.1049149298371491,33.2256849081194
2.2850335584939203,0.068,1.35,20180928,0.0015257778570000001,benew_p06_noma_tvalue_20180901_tp_0935_1000_0922221054686_after,12.967573598171713,1.1826841445899996,0.61042438265,12.94911542924844,0.037000000000000005,20170921,0.604,0.06427223914659366,20.950833644959108
2.36923215398832,0.046,0.82,20180928,0.00137028338464,benew_p02_noma_tvalue_20180901_tp_0935_1000_0920194834095_after,5.883186379505582,0.8255305790999996,0.2880939031799999,6.90690482517314,0.057,20170921,0.528,0.06302629394361421,20.48424450117914
1.8893386671436,0.047,0.78,20180928,-0.0011078873379999998,benew_p5_ma10_hist_kaleido_p05_20180515_0530181708_after,5.581466310567502,0.5943817556500006,0.08377698713,5.839880675493292,0.046,20170921,0.41200000000000003,0.03733724599757411,12.08513168680042
2.8380634285190802,0.046,0.62,20180928,0.0016989289361999998,benew_p06_noma_tvalue_20180928_tp_0935_1000_1001183211111_after,6.322632785794221,1.11307894766,0.5546182327574998,6.855079966273188,0.057999999999999996,20170921,0.5760000000000001,0.051894439448756144,17.255792588620547
2.7370404618824,0.037000000000000005,0.57,20180928,0.00156169901864,benew_p05_noma_tvalue_20180901_tp_0935_1000_0904104741953_after,6.002454547932872,1.0490369608800023,0.4614982045249999,5.998194970489039,0.057,20170921,0.56,0.0808141948572158,27.113075437543912
3.15388954829764,0.027999999999999997,0.55,20180928,0.00192190159932,benew_p02_noma_tvalue_20180901_tp_0935_1000_0923223647237_after,6.871408346474543,1.32585632178,0.4033143148900002,7.593406723204019,0.059000000000000004,20170921,0.628,0.0242172982565342,7.972671122687327
3.07007378953084,0.034,0.54,20180928,0.00194844397404,benew_p02_WTOP_R1011_20180928_tp_0935_1000_1017133635924_after,9.17441988443956,1.1841203204599893,0.3656364789200002,8.995517631798627,0.066,20170921,0.6759999999999999,0.12825600046711674,41.53575710389254
5.0139265467077605,0.113,1.39,20180928,-0.0034179952767599995,benew_p1_noma_tvalue_20180702_0722152621667_after,11.832396209390554,2.332397840660022,1.1248326200224996,13.067673668101756,0.101,20170921,0.852,0.2542642137818563,74.4362791960416
